number,forum,title,abstract,authors,decision
1,https://openreview.net/forum?id=uEuoKy2hUkm,Echocardiographic Phase Detection Using Neural Networks,"Accurate identification of end-diastolic and end-systolic frames in echocardiographic cine loops is essential when measuring cardiac function. Manual selection by human experts is challenging and error prone. This paper presents a deep neural network trained and tested on multi-centre patient data for accurate phase detection in apical four-chamber videos of arbitrary length, spanning several heartbeats, with performance indistinguishable from that of human experts.",Elisabeth Sarah Lane|Neda Azarmehr|Jevgeni Jevsikov|James P Howard|Matthew Shun-shin|Darrel P Francis|Massoud Zolgharni,Accept (Poster)
4,https://openreview.net/forum?id=h3HC1EU7AEz,ViT-V-Net: Vision Transformer for Unsupervised Volumetric Medical Image Registration,"In the last decade, convolutional neural networks (ConvNets) have dominated and achieved state-of-the-art performances in a variety of medical imaging applications. However, the performances of ConvNets are still limited by lacking the understanding of long-range spatial relations in an image. The recently proposed Vision Transformer (ViT) for image classification uses a purely self-attention-based model that learns long-range spatial relations to focus on the relevant parts of an image. Nevertheless, ViT emphasizes the low-resolution features because of the consecutive downsamplings, result in a lack of detailed localization information, making it unsuitable for image registration. Recently, several ViT-based image segmentation methods have been combined with ConvNets to improve the recovery of detailed localization information. Inspired by them, we present ViT-V-Net, which bridges ViT and ConvNet to provide volumetric medical image registration. The experimental results presented here demonstrate that the proposed architecture achieves superior performance to several top-performing registration methods.",Junyu Chen|Yufan He|Eric Frey|Ye Li|Yong Du,Accept (Poster)
5,https://openreview.net/forum?id=pOFGaVQeXAk,Deep Clustering Activation Maps for Emphysema Subtyping,"We propose a deep learning clustering method that exploits dense features from a segmentation network for emphysema subtyping from computed tomography (CT) scans. Using dense features enables high-resolution visualization of image regions corresponding to the cluster assignment via dense clustering activation maps (dCAMs). This approach provides model interpretability. We evaluated clustering results on 500 subjects from the COPDGene study, where radiologists manually annotated emphysema sub-types according to their visual CT assessment. We achieved a 43% unsupervised clustering accuracy, outperforming our baseline at 41% and yielding results comparable to supervised classification at 45%. The proposed method also offers a better cluster formation than the baseline, achieving 0.54 in silhouette coefficient and 0.55 in David-Bouldin scores.",Weiyi Xie|Colin Jacobs|Bram van Ginneken,Accept (Poster)
6,https://openreview.net/forum?id=9CSM4yQmZiN,Learning to predict cutting angles from histological human brain sections,"Studying brain architecture at the cellular level requires histological image analysis of sectioned postmortem samples. We trained a deep neural network to estimate relative angles between the cutting plane and the local 3D brain surface from 2D cortical image patches sampled from microscopic scans of human brain tissue sections. The model allows to automatically identify obliquely cut tissue parts, which often confuse downstream texture classification tasks and typically require specific treatment in image analysis workflows. It has immediate applications for the automated analysis of brain structures, like cytoarchitectonic mapping of the highly convoluted human brain.
",Christian Schiffer|Luisa Schuhmacher|Katrin Amunts|Timo Dickscheid,Accept (Poster)
8,https://openreview.net/forum?id=fnb58KJtYv,50 shades of overfitting:  towards MRI-based neurologicalmodels interpretation,"MRI-based prediction models are one of the most exploited AI solutions in neurology. Numerous computer-vision models showed their predictive ability for diverse psychoneurological conditions. Although most of these models are based on weak or no annotation, only a few reported studies interpret the predictions and perform the model saliency regions' analysis.

We utilize 3DCNN interpretation with GradCAM to explore learned patterns for basic demographic characteristics prediction on the healthy cohort. We compare the saliency maps of the gender prediction models with the different types of MRI data preprocessing and augmentation. We assess the quality of learned patterns and examine the ways of models overfitting. We propose a data augmentation strategy based on optimal transport to avoid model overfitting on the brain volumes.",Polina Druzhinina|Ekaterina Kondrateva|Evgeny Burnaev,Accept (Poster)
13,https://openreview.net/forum?id=OcATYbGIxv4,Quantifying the Scanner-Induced Domain Gap in Mitosis Detection,"Automated detection of mitotic figures in histopathology images has seen vast improvements, thanks to modern deep learning-based pipelines. Application of these methods, however, is in practice limited by strong variability of images between labs. This results in a domain shift of the images, which causes a performance drop of the models. Hypothesizing that the scanner device plays a decisive role in this effect, we evaluated the susceptibility of a standard mitosis detection approach to the domain shift introduced by using a different whole slide scanner. Our work is based on the MICCAI-MIDOG challenge 2021 data set, which includes 200 tumor cases of human breast cancer and four scanners.  

Our work indicates that the domain shift induced not by biochemical variability but purely by the choice of acquisition device is underestimated so far. Models trained on images of the same scanner yielded an average F1 score of 0.683, while models trained on a single other scanner only yielded an average F1 score of 0.325. Training on another multi-domain mitosis dataset led to mean F1 scores of 0.52. We found this not to be reflected by domain-shifts measured as proxy A distance-derived metric.",Marc Aubreville,Accept (Poster)
15,https://openreview.net/forum?id=1TPRpNyyj2L,Carbon footprint driven deep learning model selection for medical imaging,"Selecting task appropriate deep learning models is a resource intensive process; more so when working with large quantities of high dimensional data that are encountered in medical imaging. Model selection procedures that are primarily aimed at improving performance measures such as accuracy could become biased towards resource intensive models. In this work, we propose to inform and drive the model selection procedure using the carbon footprint of training deep learning models as a complementary measure along with other standard performance metrics. We experimentally demonstrate that increasing carbon footprint of large models might not necessarily translate into proportional performance gains, and suggest useful trade-offs to obtain resource efficient models.",Raghavendra Selvan,Accept (Poster)
19,https://openreview.net/forum?id=RFwhfWEMyzm,Exploiting Adam-like Optimization Algorithms to Improve the Performance of Convolutional Neural Networks,"Stochastic gradient descent (SGD) is the main approach for training deep networks: it moves towards the optimum of the cost function by  iteratively updating the parameters of a model in the direction of the gradient of the loss evaluated on a minibatch. Several variants of SGD have been proposed to make adaptive step sizes for each parameter (adaptive gradient) and take into account the previous updates (momentum). Among several alternative of SGD the most popular are AdaGrad, AdaDelta, RMSProp and Adam which scale coordinates of the gradient by square roots of some form of averaging of the squared coordinates in the past gradients and automatically adjust the learning rate on a parameter basis. In this work, we compare Adam based variants based on the difference between the present and the past gradients, the step size is adjusted for each parameter. We run several tests benchmarking proposed methods using medical image data. The experiments are performed using ResNet50 architecture neural network. Moreover, we have tested ensemble of networks and the fusion with ResNet50 trained with stochastic gradient descent. To combine the set of ResNet50 the simple sum rule has been applied. Proposed ensemble obtains very high performance, it obtains accuracy comparable or better than actual state of the art. To improve reproducibility and research efficiency the MATLAB source code used for this research is available at GitHub: https://github.com/LorisNanni.",Loris Nanni|Gianluca Maguolo|Alessandra Lumini,Accept (Poster)
20,https://openreview.net/forum?id=164F3ixC9Jc,ICAM-reg: Interpretable Classification and Regression with Feature Attribution for Mapping Neurological Phenotypes in Individual Scans,"Feature attribution (FA), or the assignment of class-relevance to different locations in an image, is important for many classification and regression problems but is particularly crucial within the neuroscience domain, where accurate mechanistic models of behaviours, or disease, require knowledge of all features discriminative of a trait. At the same time, predicting class relevance from brain images is challenging as phenotypes are typically heterogeneous, and changes occur against a background of significant natural variation.  Here, we present an extension of the ICAM framework for creating prediction specific FA maps through image-to-image translation.",Cher Bass|Mariana da Silva|Carole H. Sudre|Logan Zane John Williams|Petru-Daniel Tudosiu|Fidel Alfaro-Almagro|Sean P. Fitzgibbon|Matthew Glasser|Stephen M. Smith|Emma Claire Robinson,Accept (Poster)
21,https://openreview.net/forum?id=76X9Mthzv4X,Common limitations of performance metrics in biomedical image analysis,"While the importance of automatic biomedical image analysis is increasing at an enormous pace, recent meta-research revealed major flaws with respect to algorithm validation. Performance metrics are key for objective, transparent and comparative performance assessment, but little attention has been given to their pitfalls. Under the umbrella of the Helmholtz Imaging Platform (HIP), three international initiatives - the MICCAI Society's challenge working group, the Biomedical Image Analysis Challenges (BIAS) initiative, as well as the benchmarking working group of the MONAI framework - have now joined forces with the mission to generate best practice recommendations with respect to metrics in medical image analysis. Consensus building is achieved via a Delphi process, a popular tool for integrating opinions in large international consortia. The current document serves as a teaser for the results presentation and focuses on the pitfalls of the most commonly used metric in biomedical image analysis, the Dice Similarity Coefficient (DSC), in the categories of (1) mathematical properties/edge cases, (2) task/metric fit and (3) metric aggregation. Being compiled by a large group of experts from more than 30 institutes worldwide, we believe that our framework could be of general interest to the MIDL community and will improve the quality of biomedical image analysis algorithm validation. ",Annika Reinke|Matthias Eisenmann|Minu Dietlinde Tizabi|Carole H. Sudre|Tim Rädsch|Michela Antonelli|Tal Arbel|Spyridon Bakas|M. Jorge Cardoso|Veronika Cheplygina|Keyvan Farahani|Ben Glocker|Doreen Heckmann-Nötzel|Fabian Isensee|Pierre Jannin|Charles Kahn|Jens Kleesiek|Tahsin Kurc|Michal Kozubek|Bennett A. Landman|Geert Litjens|Klaus Maier-Hein|Anne Lousise Martel|bjoern menze|Henning Müller|Jens Petersen|Mauricio Reyes|Nicola Rieke|Bram Stieltjes|Ronald M. Summers|Sotirios A. Tsaftaris|Bram van Ginneken|Annette Kopp-Schneider|Paul Jäger|Lena Maier-Hein,Accept (Poster)
